timestamp,likesCount,commentsCount
2023-02-10T20:08:08.000Z,7906,68
2023-02-06T20:15:11.000Z,11770,77
2023-02-12T14:00:31.000Z,18738,92
2023-02-27T17:20:12.000Z,11653,66
2023-02-08T22:12:15.000Z,10892,61
2023-02-09T23:21:15.000Z,15453,73
2023-02-08T17:14:20.000Z,15590,60
2023-03-02T13:35:50.000Z,21385,134
2023-02-22T15:14:10.000Z,16380,87
2023-02-21T22:54:23.000Z,19120,145
2023-03-08T19:30:17.000Z,11101,80
2023-02-24T14:09:03.000Z,14789,90
2023-02-13T21:00:19.000Z,18707,63
2023-02-11T19:30:10.000Z,14790,57
2023-03-19T15:56:32.000Z,10998,63
2023-02-04T18:35:40.000Z,61336,183
2023-02-01T23:38:48.000Z,11975,73
2023-02-05T23:56:36.000Z,29926,98
2023-01-31T23:37:05.000Z,17945,84
2023-02-03T17:19:11.000Z,20790,101
2023-02-02T19:13:14.000Z,17234,82
2023-02-14T14:30:17.000Z,21698,89
2023-03-04T14:00:28.000Z,15297,78
2023-01-30T02:15:04.000Z,23607,84
2023-01-30T17:13:10.000Z,13827,57
2023-01-24T17:29:14.000Z,14451,98
2023-01-23T20:51:04.000Z,16633,65
2023-01-29T17:18:32.000Z,8436,47
2023-01-25T16:23:30.000Z,52050,288
2023-02-23T20:55:11.000Z,10105,49
2023-02-05T18:36:01.000Z,19407,91
2023-01-31T17:46:36.000Z,29952,79
2023-01-26T23:23:05.000Z,11502,69
2023-01-28T21:21:20.000Z,19663,70
2023-01-23T16:59:16.000Z,19511,107
2023-01-24T21:40:10.000Z,9188,52
2023-01-20T16:40:06.000Z,16658,79
2023-01-22T22:40:07.000Z,14588,63
2023-01-22T14:36:51.000Z,13152,94
2023-01-18T17:45:02.000Z,46007,183
2023-01-19T14:18:46.000Z,7683,50
2023-01-21T14:08:14.000Z,10364,83
2023-01-18T21:15:37.000Z,15401,80
2023-02-05T01:21:56.000Z,21160,65
2023-01-17T18:30:13.000Z,14328,75
2023-01-19T20:46:11.000Z,12697,61
2023-02-01T20:50:10.000Z,16870,73
2023-01-16T20:10:50.000Z,22955,71
2023-02-01T17:24:01.000Z,55776,165
2023-01-16T15:07:36.000Z,16318,62
2023-01-15T15:27:40.000Z,20441,76
2023-01-13T18:29:38.000Z,11765,53
2023-01-27T17:25:09.000Z,11721,59
2023-01-12T14:30:12.000Z,11328,56
2023-01-25T21:40:07.000Z,9803,43
2023-01-14T15:33:46.000Z,80386,316
2023-01-09T20:08:09.000Z,19850,74
