week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2015-12-07/2015-12-13,121665,1410,15208.125,176.25
2015-12-21/2015-12-27,48484,536,16161.333333333334,178.66666666666666
2015-12-28/2016-01-03,22201,415,22201.0,415.0
2016-01-04/2016-01-10,52669,622,17556.333333333332,207.33333333333334
2016-01-11/2016-01-17,51628,1778,17209.333333333332,592.6666666666666
2016-01-18/2016-01-24,62655,752,20885.0,250.66666666666666
2016-01-25/2016-01-31,21808,226,21808.0,226.0
2016-02-01/2016-02-07,25885,246,12942.5,123.0
2016-02-08/2016-02-14,62366,927,20788.666666666668,309.0
2016-02-15/2016-02-21,43954,499,14651.333333333334,166.33333333333334
2016-02-22/2016-02-28,19623,194,19623.0,194.0
2016-02-29/2016-03-06,35145,409,17572.5,204.5
2016-03-07/2016-03-13,54199,683,13549.75,170.75
2016-03-14/2016-03-20,65061,2184,21687.0,728.0
2016-03-21/2016-03-27,130079,5496,21679.833333333332,916.0
2016-03-28/2016-04-03,88842,3289,17768.4,657.8
2016-04-04/2016-04-10,106899,1660,21379.8,332.0
2016-04-11/2016-04-17,36503,437,18251.5,218.5
2016-04-18/2016-04-24,72263,610,24087.666666666668,203.33333333333334
2016-04-25/2016-05-01,78917,779,19729.25,194.75
2016-05-02/2016-05-08,35475,307,17737.5,153.5
2016-05-09/2016-05-15,123356,2113,24671.2,422.6
2016-05-16/2016-05-22,101852,1313,20370.4,262.6
2016-05-23/2016-05-29,76127,871,38063.5,435.5
2016-05-30/2016-06-05,92230,842,30743.333333333332,280.6666666666667
2016-06-06/2016-06-12,100221,726,25055.25,181.5
2016-06-13/2016-06-19,110877,953,27719.25,238.25
2016-06-20/2016-06-26,84100,459,28033.333333333332,153.0
2016-06-27/2016-07-03,89595,911,29865.0,303.6666666666667
2016-07-04/2016-07-10,104276,935,26069.0,233.75
2016-07-11/2016-07-17,147398,1417,36849.5,354.25
2016-07-18/2016-07-24,94580,872,31526.666666666668,290.6666666666667
2016-07-25/2016-07-31,184756,977,36951.2,195.4
2016-08-01/2016-08-07,21992,226,21992.0,226.0
2016-08-08/2016-08-14,75491,612,37745.5,306.0
2016-08-15/2016-08-21,40950,363,40950.0,363.0
