week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg,highChange (above 6% change),aboveAvgVol
2023-02-20/2023-02-26,209724,1000,16132.615384615385,76.92307692307692,0,1
2023-02-27/2023-03-05,208893,1045,16068.692307692309,80.38461538461539,0,1
2023-03-06/2023-03-12,388751,8708,32395.916666666668,725.6666666666666,1,1
2023-03-13/2023-03-19,330397,1200,23599.785714285714,85.71428571428571,0,1
2023-03-20/2023-03-26,296372,1121,24697.666666666668,93.41666666666667,0,1
2023-03-27/2023-04-02,218200,992,21820.0,99.2,1,0
2023-04-03/2023-04-09,600263,4468,42875.92857142857,319.14285714285717,0,0
2023-04-10/2023-04-16,330181,1566,27515.083333333332,130.5,0,0
2023-04-17/2023-04-23,465940,1746,31062.666666666668,116.4,1,1
2023-04-24/2023-04-30,38251,292,12750.333333333334,97.33333333333333,0,0
