"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"58490","23","46","584","3","2023-02-28T22:51:30.000Z"
"29090","2","10","142","2","2023-02-28T14:01:27.000Z"
"40447","2","21","256","0","2023-02-27T17:22:06.000Z"
"68801","9","48","613","0","2023-02-26T17:00:14.000Z"
"38276","3","15","248","0","2023-02-25T20:00:12.000Z"
"46727","5","24","228","0","2023-02-25T14:01:03.000Z"
"65517","4","40","536","4","2023-02-24T20:00:21.000Z"
"35476","1","19","234","1","2023-02-24T17:00:28.000Z"
"31384","2","12","122","0","2023-02-24T14:01:12.000Z"
"29097","0","12","172","0","2023-02-23T21:00:21.000Z"
,"1","3","10","0","2023-02-22T15:56:54.000Z"
"28190","1","14","105","1","2023-02-23T18:18:49.000Z"
"30210","0","6","111","1","2023-02-22T20:23:06.000Z"
"40585","2","29","240","4","2023-02-22T15:02:06.000Z"
"31039","2","19","96","1","2023-02-21T23:14:46.000Z"
"36390","1","19","197","0","2023-02-21T17:20:08.000Z"
"54827","3","21","229","0","2023-02-20T20:00:19.000Z"
"54658","1","26","272","3","2023-02-20T14:02:15.000Z"
"61857","3","40","423","3","2023-02-19T14:00:15.000Z"
"56127","3","11","235","0","2023-02-18T20:00:15.000Z"
"47304","3","17","184","2","2023-02-18T14:30:54.000Z"
"31936","2","9","138","0","2023-02-17T20:22:06.000Z"
"40984","4","22","245","0","2023-02-16T21:05:09.000Z"
"26961","2","7","70","1","2023-02-16T17:26:56.000Z"
"45515","4","21","264","1","2023-02-15T18:22:06.000Z"
"51376","3","37","203","3","2023-02-14T21:01:02.000Z"
"57376","5","18","343","0","2023-02-14T14:32:06.000Z"
"59206","4","27","351","0","2023-02-13T21:00:15.000Z"
"29842","2","6","61","0","2023-02-13T16:56:42.000Z"
"74180","9","34","419","1","2023-02-12T14:00:23.000Z"
"49091","6","21","254","0","2023-02-11T20:00:14.000Z"
"63345","7","32","250","2","2023-02-11T14:01:23.000Z"
"32946","1","4","104","0","2023-02-10T20:09:07.000Z"
"26121","2","4","79","1","2023-02-09T23:28:31.000Z"
"28678","4","9","78","1","2023-02-09T20:01:35.000Z"
"32266","2","22","223","0","2023-02-09T16:25:11.000Z"
"35131","6","11","212","0","2023-02-08T22:53:55.000Z"
