"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"324762","11","56","638","2","2023-04-12T22:00:03.000Z"
"653165","67","435","4273","27","2023-04-12T22:00:02.000Z"
"299043","11","45","421","0","2023-04-12T21:00:03.000Z"
"468972","28","213","1957","14","2023-04-12T21:00:02.000Z"
"391351","70","230","2202","25","2023-04-12T20:00:04.000Z"
"388210","62","252","1737","48","2023-04-12T19:00:46.000Z"
"894780","214","2928","17951","463","2023-04-12T18:00:24.000Z"
"617259","46","299","3160","84","2023-04-12T17:00:11.000Z"
"5163815","967","8176","35027","3976","2023-04-12T14:00:33.000Z"
"1743297","439","1945","11903","704","2023-04-12T01:00:03.000Z"
"367272","21","89","722","11","2023-04-11T19:00:44.000Z"
"489552","45","374","1873","75","2023-04-11T19:00:42.000Z"
"439055","33","158","1127","29","2023-04-11T18:00:26.000Z"
"2931440","560","2625","15139","1550","2023-04-11T13:00:02.000Z"
"665215","146","535","3253","135","2023-04-10T22:09:09.000Z"
"753396","52","406","3128","66","2023-04-10T17:07:38.000Z"
"3154413","106","357","4070","96","2023-04-10T19:00:02.000Z"
"839932","206","886","8148","171","2023-04-10T17:00:56.000Z"
"466065","51","519","2824","106","2023-04-10T15:00:25.000Z"
"463953","58","120","1322","7","2023-04-08T17:00:40.000Z"
"395308","44","193","1164","35","2023-04-07T13:01:09.000Z"
"1234659","229","1198","10223","229","2023-04-07T01:00:01.000Z"
"932586","146","694","7128","77","2023-04-06T20:30:01.000Z"
"485176","63","482","3674","41","2023-04-06T20:00:01.000Z"
"281133","22","152","1117","11","2023-04-06T19:00:53.000Z"
"523889","67","316","2347","57","2023-04-06T19:00:29.000Z"
"435508","32","176","1637","13","2023-04-06T18:00:40.000Z"
"289223","22","72","655","10","2023-04-06T17:00:30.000Z"
"710904","204","158","1961","91","2023-04-06T16:00:04.000Z"
"509258","28","173","1252","9","2023-04-05T17:00:01.000Z"
"735602","102","738","4627","242","2023-04-05T16:00:44.000Z"
"364138","35","105","914","18","2023-04-05T13:01:02.000Z"
"906690","139","830","4628","227","2023-04-05T01:21:46.000Z"
"571612","99","537","5457","55","2023-04-04T19:00:37.000Z"
"554094","130","160","1942","36","2023-04-04T18:30:02.000Z"
"7446007","2105","11777","61546","7092","2023-04-04T16:01:31.000Z"
"1230441","324","1335","8242","578","2023-04-04T17:16:32.000Z"
"324768","17","123","884","13","2023-04-04T17:01:07.000Z"
"453033","79","330","2837","35","2023-04-04T16:01:06.000Z"
"768644","164","594","6349","132","2023-04-03T19:00:35.000Z"
"351810","31","111","1188","6","2023-04-03T18:00:02.000Z"
"997740","448","1680","14262","692","2023-04-03T14:30:02.000Z"
"1449433","354","3708","24285","348","2023-04-03T15:00:00.000Z"
"559798","74","269","2684","10","2023-04-03T14:00:03.000Z"
"597251","56","438","3722","50","2023-03-31T23:00:03.000Z"
"546199","93","769","4975","60","2023-03-31T22:15:01.000Z"
"975206","362","985","8422","233","2023-03-31T21:03:06.000Z"
"254536","12","66","693","2","2023-03-31T21:01:08.000Z"
"516698","69","356","3208","31","2023-03-31T21:01:08.000Z"
"622250","60","919","5688","57","2023-03-31T13:00:03.000Z"
"653602","82","618","5228","63","2023-03-31T01:00:01.000Z"
"351188","43","128","1117","14","2023-03-30T18:00:56.000Z"
"764062","218","1053","10358","173","2023-03-30T17:00:48.000Z"
"436951","41","233","2279","6","2023-03-29T18:00:03.000Z"
"707372","142","845","8789","98","2023-03-29T17:33:04.000Z"
"729642","159","455","6889","160","2023-03-29T17:00:50.000Z"
"461458","49","237","2410","11","2023-03-29T14:00:03.000Z"
"378528","19","197","1538","30","2023-03-27T19:05:07.000Z"
"589974","31","53","588","45","2023-03-28T19:00:52.000Z"
"905856","165","1712","11793","600","2023-03-28T14:17:38.000Z"
"2241897","485","4260","24863","2030","2023-03-28T14:17:33.000Z"
"2892581","590","4149","22173","2208","2023-03-28T14:01:12.000Z"
"535470","105","281","1841","62","2023-03-28T01:01:04.000Z"
"414100","55","88","740","30","2023-03-27T19:01:10.000Z"
"432162","40","112","1499","7","2023-03-27T18:00:03.000Z"
"9040740","1822","14266","69392","7036","2023-03-27T14:00:51.000Z"
"468502","30","207","1965","24","2023-03-26T14:48:58.000Z"
"1435310","426","511","6958","463","2023-03-24T21:00:31.000Z"
"741438","309","1567","11851","445","2023-03-24T19:31:12.000Z"
"374691","39","194","1456","16","2023-03-24T18:30:37.000Z"
"312240","16","66","733","8","2023-03-24T15:09:50.000Z"
"470073","67","247","2222","30","2023-03-24T14:00:21.000Z"
"655521","183","1075","6819","184","2023-03-24T01:00:02.000Z"
"1588435","431","348","4320","206","2023-03-23T23:00:31.000Z"
"636872","114","558","2398","88","2023-03-21T21:00:15.000Z"
"348143","33","139","1166","8","2023-03-23T19:00:51.000Z"
"221321","8","16","142","1","2023-03-23T18:34:04.000Z"
"230137","6","13","128","1","2023-03-23T18:34:04.000Z"
"324553","25","103","828","13","2023-03-23T18:00:44.000Z"
"560136","89","55","599","33","2023-03-23T17:02:53.000Z"
"4734418","1949","7503","32319","4121","2023-03-23T16:00:01.000Z"
"1250526","250","6127","23965","978","2023-03-23T15:02:55.000Z"
"804167","160","1967","8250","292","2023-03-23T14:02:11.000Z"
"757686","124","460","3550","212","2023-03-23T13:02:09.000Z"
"387381","49","345","1983","13","2023-03-23T00:00:28.000Z"
"897756","105","1502","10145","112","2023-03-22T20:00:08.000Z"
"1010546","204","643","5810","102","2023-03-21T18:15:19.000Z"
"309441","26","221","1456","28","2023-03-22T17:01:05.000Z"
"224790","11","26","336","1","2023-03-22T16:30:00.000Z"
"238356","9","21","271","3","2023-03-22T16:29:59.000Z"
"581976","194","87","738","114","2023-03-22T16:29:59.000Z"
"1370895","175","1442","5542","895","2023-03-22T13:03:36.000Z"
"694145","93","561","2857","204","2023-03-22T01:05:45.000Z"
"749602","217","855","5418","214","2023-03-21T19:01:01.000Z"
"384406","30","164","1393","9","2023-03-21T17:00:55.000Z"
"1153099","532","658","5632","533","2023-03-20T13:00:01.000Z"
"859989","226","527","4119","279","2023-03-20T17:00:43.000Z"
"540394","87","308","3117","110","2023-03-20T16:34:54.000Z"
"491302","90","209","2035","27","2023-03-20T13:00:03.000Z"
"399567","42","220","2064","7","2023-03-18T17:00:03.000Z"
"616526","84","511","4784","42","2023-03-17T22:15:01.000Z"
"330518","64","200","1710","13","2023-03-17T19:00:54.000Z"
"314457","30","273","2049","15","2023-03-17T18:00:02.000Z"
"280612","30","82","655","12","2023-03-17T17:01:13.000Z"
"319704","31","233","1528","9","2023-03-17T17:01:12.000Z"
"338222","30","232","1514","21","2023-03-17T16:05:02.000Z"
