"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"5624829","1577","2502","18030","313","2023-04-12T21:41:44.000Z"
"3409418","268","879","7694","45","2023-04-15T05:27:26.000Z"
"35151142","9726","19224","261835","1263","2023-04-15T00:06:27.000Z"
"4213282","461","1200","8052","92","2023-04-14T20:14:09.000Z"
"30481927","8371","15934","168044","896","2023-04-14T23:46:49.000Z"
"3201669","334","690","6533","48","2023-04-14T23:37:11.000Z"
"3325770","251","764","7231","65","2023-04-14T23:37:10.000Z"
"4420535","912","2361","20469","96","2023-04-14T15:33:59.000Z"
"58641042","16955","45157","572633","4846","2023-04-14T11:15:55.000Z"
"6331237","2149","2293","37459","121","2023-04-14T08:04:20.000Z"
"32544565","18164","11747","165162","1961","2023-04-14T08:02:43.000Z"
"4801115","867","2533","16349","140","2023-04-14T06:35:56.000Z"
"11891254","2945","2486","15066","4240","2023-04-14T00:41:19.000Z"
"16532064","4414","10718","100458","1113","2023-04-13T17:20:39.000Z"
"29272643","7233","12190","111912","2060","2023-04-13T17:07:44.000Z"
"17779812","9913","9288","107883","1255","2023-04-13T16:25:30.000Z"
"3790765","1186","3459","17911","155","2023-04-13T03:50:43.000Z"
"11939192","5907","11084","81212","752","2023-04-13T00:06:22.000Z"
"9191399","1526","3564","22520","536","2023-04-12T21:15:31.000Z"
"5860292","3441","7465","90214","264","2023-04-12T19:08:02.000Z"
"16520700","5667","12019","120035","451","2023-04-12T19:07:08.000Z"
"21705715","9420","28292","174601","1512","2023-04-12T19:05:30.000Z"
"13485131","14787","28928","239952","2807","2023-04-12T18:54:34.000Z"
"41152895","16029","14414","165661","2386","2023-04-12T18:53:35.000Z"
"6358049","1349","5063","41669","300","2023-04-12T16:44:34.000Z"
"40179522","30054","54584","325918","5574","2023-04-12T16:22:49.000Z"
"10149768","3317","3265","46171","332","2023-04-12T05:39:30.000Z"
"47863080","12190","14596","235642","1259","2023-04-12T07:41:35.000Z"
"27741280","12181","23679","174865","2971","2023-04-12T07:25:42.000Z"
"13509580","6452","5902","64476","555","2023-04-12T03:19:16.000Z"
"8686113","2124","6206","46681","610","2023-04-11T19:45:15.000Z"
"43196492","21205","17006","212244","5409","2023-04-11T18:55:18.000Z"
"7338961","959","3810","33996","306","2023-04-11T15:09:30.000Z"
"51824370","36075","17353","189814","6009","2023-04-11T07:03:45.000Z"
"18490099","18631","12442","152221","1845","2023-04-10T23:11:08.000Z"
"11049620","5796","6951","67897","523","2023-04-10T21:04:11.000Z"
"13573594","7321","6417","81396","774","2023-04-10T19:13:38.000Z"
"11511880","6674","4324","64623","608","2023-04-10T16:08:05.000Z"
"32865715","7979","26236","242913","2027","2023-04-10T15:52:03.000Z"
"33275559","16707","14432","166507","2843","2023-04-10T14:32:30.000Z"
"10612867","4853","6376","72556","590","2023-04-10T13:27:08.000Z"
"10032175","5333","5713","112385","658","2023-04-10T04:05:12.000Z"
"65728678","19153","24149","364292","5402","2023-04-10T03:23:01.000Z"
"6927308","1118","2417","21941","193","2023-04-09T21:02:55.000Z"
"10707520","2932","4131","59793","238","2023-04-09T22:21:52.000Z"
"11618361","5095","6088","58759","503","2023-04-09T22:00:23.000Z"
"18633018","9425","16799","266280","1073","2023-04-09T21:44:20.000Z"
"33330563","23092","22427","311896","1555","2023-04-09T18:10:58.000Z"
"20778224","6655","6384","59683","747","2023-04-09T17:27:07.000Z"
"23012121","10583","14297","162601","1690","2023-04-09T06:07:02.000Z"
"13309856","7341","11846","145690","770","2023-04-09T05:15:30.000Z"
"29816170","10634","13612","311311","1443","2023-04-09T01:26:49.000Z"
"17447634","8923","21278","149081","1612","2023-04-09T00:32:27.000Z"
"33120457","10741","21776","254453","1905","2023-04-08T11:00:04.000Z"
"19689337","7968","17042","195276","1544","2023-04-08T09:17:07.000Z"
"11204681","2140","2327","24039","339","2023-04-07T20:09:24.000Z"
"5347778","1479","1363","19226","190","2023-04-08T01:00:18.000Z"
"9410783","3320","3369","48069","254","2023-04-08T00:58:10.000Z"
"15004371","5454","9576","91839","655","2023-04-07T18:01:06.000Z"
"5560478","1402","3993","30031","215","2023-04-07T16:04:46.000Z"
"5932842","1581","3646","29237","193","2023-04-07T05:03:25.000Z"
"5241815","991","2960","25880","180","2023-04-07T04:40:52.000Z"
"4763345","798","3012","24816","169","2023-04-07T04:30:48.000Z"
"4633442","710","1104","10436","75","2023-04-07T01:51:43.000Z"
"18027136","6730","10229","88239","811","2023-04-06T21:52:44.000Z"
"21832976","12879","23742","235192","2164","2023-04-06T07:10:55.000Z"
"8294788","1619","4330","26271","586","2023-04-06T00:04:54.000Z"
"29672513","12574","18854","207646","1540","2023-04-04T23:15:03.000Z"
"54207367","18280","58159","559609","3027","2023-04-04T18:52:32.000Z"
"34080577","19057","16279","292658","1861","2023-04-03T20:17:23.000Z"
"80865171","26284","57243","765928","15405","2023-04-03T19:44:24.000Z"
"75149617","32487","84007","906873","16619","2023-04-03T18:50:20.000Z"
"26802141","13723","14932","200202","1916","2023-04-03T13:29:00.000Z"
"29333388","9784","34909","430579","1836","2023-04-03T02:08:44.000Z"
"18299855","4238","6218","64518","346","2023-04-02T21:58:49.000Z"
"41870733","17953","29995","578176","2118","2023-04-02T19:49:26.000Z"
"7469855","1232","4123","40201","258","2023-04-02T14:37:37.000Z"
"7021994","1128","4218","40872","202","2023-04-02T14:30:16.000Z"
"6723237","1276","2838","23705","217","2023-04-02T19:39:05.000Z"
