"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"613290","117","420","4693","32","2023-02-13T19:55:54.000Z"
"1162539","117","491","5339","36","2023-02-13T19:54:46.000Z"
"435373","60","324","4029","34","2023-02-13T19:47:20.000Z"
"378363","61","296","3908","20","2023-02-13T19:44:28.000Z"
"398075","104","405","4899","46","2023-02-13T19:43:29.000Z"
"9709321","916","1980","22467","129","2023-02-13T19:43:29.000Z"
"678633","168","346","3499","17","2023-02-11T16:07:21.000Z"
"11215890","1371","3637","34063","239","2023-02-11T16:07:20.000Z"
"1550192","614","1429","13212","150","2023-02-10T23:15:20.000Z"
"2099146","292","505","6606","41","2023-02-10T17:16:29.000Z"
"2498540","431","1280","13124","88","2023-02-08T20:23:42.000Z"
,"0","19368","0","0","2023-02-08T09:05:20.000Z"
"818702","133","529","4104","26","2023-02-07T17:38:51.000Z"
"9401797","1865","5115","45564","370","2023-02-03T21:50:55.000Z"
"486730","489","633","4142","40","2023-02-01T20:35:24.000Z"
"3348344","1348","2709","35495","244","2023-02-01T14:32:57.000Z"
"6506147","2229","4283","40092","373","2023-01-31T23:25:52.000Z"
"19749460","12294","11554","228543","1344","2023-01-31T19:04:49.000Z"
"14285173","8108","8990","170572","1066","2023-01-26T03:04:55.000Z"
"4036396","1165","2933","17891","141","2023-01-25T22:31:40.000Z"
"399401","108","436","3758","34","2023-01-25T21:45:14.000Z"
"533861","210","443","4329","39","2023-01-25T21:44:22.000Z"
"234487","43","198","2868","9","2023-01-25T21:40:04.000Z"
"189099","53","251","3039","12","2023-01-25T21:40:03.000Z"
"4306860","1159","3387","26985","256","2023-01-25T21:40:03.000Z"
"4517562","947","2486","20874","136","2023-01-25T16:31:48.000Z"
"3348203","931","2283","23318","122","2023-01-24T22:41:20.000Z"
"3044259","583","1819","19940","73","2023-01-24T22:41:06.000Z"
"14620199","1840","5984","50025","815","2023-01-24T22:41:06.000Z"
"457070","103","262","3084","9","2023-01-20T23:15:17.000Z"
"588796","211","291","3676","9","2023-01-20T23:15:16.000Z"
"2509209","557","1467","13388","79","2023-01-20T23:15:16.000Z"
"331196","63","214","2048","11","2023-01-19T20:38:36.000Z"
"493974","94","323","3165","29","2023-01-19T20:38:28.000Z"
"289457","44","146","2137","10","2023-01-19T20:37:06.000Z"
"209329","43","132","1930","8","2023-01-19T20:34:17.000Z"
"3681710","929","1804","16882","92","2023-01-19T20:34:09.000Z"
"303458","99","327","2570","9","2023-01-19T18:35:22.000Z"
"983623","126","440","3500","13","2023-01-19T18:35:21.000Z"
"310984","70","276","2095","3","2023-01-18T16:04:46.000Z"
"379647","73","283","2773","8","2023-01-18T16:04:46.000Z"
"185117","21","148","1804","6","2023-01-18T16:03:08.000Z"
"132776","15","105","1479","0","2023-01-18T16:03:08.000Z"
"166929","44","153","1961","6","2023-01-18T16:03:07.000Z"
"3522430","1352","2770","23647","197","2023-01-18T16:03:05.000Z"
"3956299","1315","1940","19393","152","2023-01-13T13:45:02.000Z"
"4047115","1337","1998","18481","94","2023-01-13T13:45:02.000Z"
"906928","172","585","4690","42","2023-01-12T21:51:42.000Z"
"1699252","242","648","5014","43","2023-01-11T20:52:49.000Z"
"1187023","417","895","8057","86","2023-01-11T19:58:23.000Z"
"563414","127","420","3704","17","2023-01-11T10:08:01.000Z"
"6089156","1589","3732","28724","298","2023-01-11T10:08:00.000Z"
"578445","212","352","5341","14","2023-01-10T20:35:50.000Z"
"2943118","663","1644","15199","162","2023-01-10T20:35:49.000Z"
"3235859","482","1166","11769","102","2023-01-10T14:58:50.000Z"
"6455453","1415","2411","21957","157","2023-01-09T16:37:46.000Z"
"30156105","1336","2124","16767","299","2023-01-07T21:38:50.000Z"
"611959","115","450","5304","19","2023-01-07T17:03:37.000Z"
"991270","214","1029","9633","87","2023-01-07T17:03:07.000Z"
"683372","127","664","8190","56","2023-01-07T16:55:27.000Z"
"543370","53","286","4657","14","2023-01-07T16:55:26.000Z"
"530383","72","254","4364","6","2023-01-07T16:55:26.000Z"
"523424","66","249","4303","12","2023-01-07T16:55:25.000Z"
"29585011","2009","4366","38558","447","2023-01-07T16:52:38.000Z"
"6177644","1340","2796","23836","157","2023-01-05T11:20:51.000Z"
"1433225","306","609","6338","31","2023-01-05T10:59:53.000Z"
"25673250","16725","7208","52842","616","2023-01-04T00:36:33.000Z"
"1667766","520","1094","8453","79","2023-01-02T18:06:36.000Z"
"2752319","637","1103","10548","132","2023-01-02T18:05:31.000Z"
"3359060","1299","791","11343","101","2023-01-01T15:31:41.000Z"
"1036764","91","322","3096","13","2022-12-31T19:35:51.000Z"
"1609533","290","595","5788","46","2022-12-31T19:35:51.000Z"
"705036","258","633","7816","34","2022-12-29T19:56:29.000Z"
"1737618","138","655","6998","79","2022-12-29T19:56:29.000Z"
"343132","31","296","4431","9","2022-12-29T19:56:29.000Z"
"366955","42","351","4647","24","2022-12-29T19:56:28.000Z"
"329365","69","362","4753","19","2022-12-29T19:52:05.000Z"
"406345","47","428","5113","19","2022-12-29T19:52:04.000Z"
"424230","82","441","5557","26","2022-12-29T19:52:04.000Z"
"9159587","2818","4860","49202","425","2022-12-29T19:44:15.000Z"
"6776664","2162","4002","38318","255","2022-12-28T16:08:15.000Z"
"8141196","2939","4303","40738","367","2022-12-27T22:54:10.000Z"
"12812836","3079","5427","71468","461","2022-12-25T18:28:37.000Z"
"631663","113","263","3783","11","2022-12-24T21:28:53.000Z"
"1146567","412","995","11459","100","2022-12-24T21:28:50.000Z"
"2893269","368","1436","17020","126","2022-12-24T10:43:59.000Z"
"1067258","251","801","7117","61","2022-12-23T19:57:51.000Z"
"10691208","1662","3712","38229","137","2022-12-23T17:50:28.000Z"
