week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean
2022-02-28/2022-03-06,0.0,6865,6686,64485,543,0.0,3432.5,3343.0,32242.5,271.5
2022-03-07/2022-03-13,0.0,1293,1151,17737,76,0.0,1293.0,1151.0,17737.0,76.0
2022-03-21/2022-03-27,1356167.0,11335,15235,191614,1317,452055.6666666667,3778.3333333333335,5078.333333333333,63871.333333333336,439.0
2022-03-28/2022-04-03,0.0,14866,18747,219290,2983,0.0,3716.5,4686.75,54822.5,745.75
2022-04-04/2022-04-10,4262541.0,33608,43328,603928,2996,426254.1,3360.8,4332.8,60392.8,299.6
2022-04-11/2022-04-17,0.0,1211,1429,13050,108,0.0,1211.0,1429.0,13050.0,108.0
2022-04-18/2022-04-24,0.0,916,903,6370,66,0.0,916.0,903.0,6370.0,66.0
2022-04-25/2022-05-01,0.0,7299,6250,71848,516,0.0,7299.0,6250.0,71848.0,516.0
2022-05-02/2022-05-08,198445.0,9980,18186,201977,1418,15265.0,767.6923076923077,1398.923076923077,15536.692307692309,109.07692307692308
2022-05-09/2022-05-15,433097.0,714,846,6187,60,433097.0,714.0,846.0,6187.0,60.0
2022-05-16/2022-05-22,0.0,39109,35193,396482,9190,0.0,7821.8,7038.6,79296.4,1838.0
2022-05-23/2022-05-29,0.0,3840,4712,63395,475,0.0,1920.0,2356.0,31697.5,237.5
2022-05-30/2022-06-05,2192555.0,12009,11208,119519,1333,548138.75,3002.25,2802.0,29879.75,333.25
2022-06-06/2022-06-12,0.0,3938,4589,67074,399,0.0,3938.0,4589.0,67074.0,399.0
2022-06-13/2022-06-19,557117.0,2333,4210,39172,555,139279.25,583.25,1052.5,9793.0,138.75
2022-06-20/2022-06-26,691086.0,3598,6063,49589,603,115181.0,599.6666666666666,1010.5,8264.833333333334,100.5
2022-07-04/2022-07-10,0.0,817,1383,10993,118,0.0,408.5,691.5,5496.5,59.0
2022-07-11/2022-07-17,0.0,3282,5587,55812,633,0.0,1641.0,2793.5,27906.0,316.5
2022-07-18/2022-07-24,6612080.0,7490,9537,93459,1610,661208.0,749.0,953.7,9345.9,161.0
2022-07-25/2022-07-31,262812.0,24137,29693,447263,4683,43802.0,4022.8333333333335,4948.833333333333,74543.83333333333,780.5
2022-08-01/2022-08-07,0.0,20194,17320,173521,1570,0.0,2884.8571428571427,2474.285714285714,24788.714285714286,224.28571428571428
2022-08-08/2022-08-14,345692.0,12923,13875,191689,1521,115230.66666666667,4307.666666666667,4625.0,63896.333333333336,507.0
2022-08-15/2022-08-21,0.0,4394,4511,60514,326,0.0,2197.0,2255.5,30257.0,163.0
2022-08-22/2022-08-28,1314199.0,1881,4672,42765,542,657099.5,940.5,2336.0,21382.5,271.0
2022-08-29/2022-09-04,0.0,2890,4444,53294,351,0.0,2890.0,4444.0,53294.0,351.0
2022-09-05/2022-09-11,1338290.0,13213,14520,141331,1597,267658.0,2642.6,2904.0,28266.2,319.4
2022-09-12/2022-09-18,784711.0,6807,6583,83401,975,196177.75,1701.75,1645.75,20850.25,243.75
2022-09-26/2022-10-02,8604489.0,23961,40210,381222,5692,614606.3571428572,1711.5,2872.1428571428573,27230.14285714286,406.57142857142856
2022-10-03/2022-10-09,3246076.0,24885,37360,458565,5217,541012.6666666666,4147.5,6226.666666666667,76427.5,869.5
2022-10-10/2022-10-16,0.0,1909,2198,19801,136,0.0,636.3333333333334,732.6666666666666,6600.333333333333,45.333333333333336
2022-10-17/2022-10-23,4490137.0,11902,18800,198713,2172,320724.0714285714,850.1428571428571,1342.857142857143,14193.785714285714,155.14285714285714
2022-10-24/2022-10-30,4897961.0,7101,11566,145872,852,1632653.6666666667,2367.0,3855.3333333333335,48624.0,284.0
2022-10-31/2022-11-06,4189326.0,5231,14558,181029,1011,1047331.5,1307.75,3639.5,45257.25,252.75
2022-11-07/2022-11-13,3982492.0,11393,18568,180570,2054,568927.4285714285,1627.5714285714287,2652.5714285714284,25795.714285714286,293.42857142857144
2022-11-14/2022-11-20,8565080.0,10500,20197,215262,2313,2141270.0,2625.0,5049.25,53815.5,578.25
2022-11-21/2022-11-27,0.0,22195,32725,368515,4076,0.0,4439.0,6545.0,73703.0,815.2
2022-11-28/2022-12-04,5413712.0,400509,659648,6196177,69579,169178.5,12515.90625,20614.0,193630.53125,2174.34375
2022-12-05/2022-12-11,6653420.0,696465,1287087,12558029,156134,130459.2156862745,13656.176470588236,25237.0,246235.86274509804,3061.450980392157
2022-12-12/2022-12-18,1631159482.0,1361431,1473722,14378636,388312,23987639.44117647,20021.04411764706,21672.382352941175,211450.5294117647,5710.470588235294
2022-12-19/2022-12-25,1194659003.0,595796,823703,6642829,136905,25970847.891304348,12952.08695652174,17906.58695652174,144409.3260869565,2976.195652173913
2022-12-26/2023-01-01,1057240595.0,533460,905013,8941271,126191,27822120.92105263,14038.421052631578,23816.13157894737,235296.6052631579,3320.815789473684
2023-01-02/2023-01-08,811097188.0,478636,366982,3970315,59660,24578702.666666668,14504.121212121212,11120.666666666666,120312.57575757576,1807.878787878788
2023-01-09/2023-01-15,370723259.0,273369,268544,2689614,40633,10297868.305555556,7593.583333333333,7459.555555555556,74711.5,1128.6944444444443
2023-01-16/2023-01-22,535614458.0,307119,402066,3974761,52284,11158634.541666666,6398.3125,8376.375,82807.52083333333,1089.25
2023-01-23/2023-01-29,475793383.0,270671,370573,4172615,43608,13993923.029411765,7960.911764705882,10899.20588235294,122723.9705882353,1282.5882352941176
2023-01-30/2023-02-05,510338556.0,265678,325549,4573877,48044,17011285.2,8855.933333333332,10851.633333333333,152462.56666666668,1601.4666666666667
2023-02-06/2023-02-12,1043613052.0,407378,592806,6337940,76268,18309000.9122807,7146.982456140351,10400.105263157895,111191.9298245614,1338.0350877192982
2023-02-13/2023-02-19,2706649868.0,608399,869287,11946018,123322,44371309.31147541,9973.754098360656,14250.606557377048,195836.3606557377,2021.672131147541
2023-02-20/2023-02-26,1597706063.0,326670,540240,6795350,73533,29587149.314814813,6049.444444444444,10004.444444444445,125839.81481481482,1361.7222222222222
2023-02-27/2023-03-05,916678788.0,223426,327686,3209502,56992,17295826.188679244,4215.584905660377,6182.754716981132,60556.64150943396,1075.3207547169811
2023-03-06/2023-03-12,770692856.0,283481,619135,4352359,48723,20281390.94736842,7460.026315789473,16293.026315789473,114535.76315789473,1282.1842105263158
2023-03-13/2023-03-19,1301995809.0,450852,849878,7995554,86792,22842031.736842107,7909.684210526316,14910.140350877193,140272.87719298244,1522.6666666666667
2023-03-20/2023-03-26,443380758.0,123074,176981,1695941,16335,16421509.555555556,4558.2962962962965,6554.851851851852,62812.62962962963,605.0
2023-03-27/2023-04-02,1371967953.0,478985,615519,7236292,162546,28582665.6875,9978.854166666666,12823.3125,150756.08333333334,3386.375
2023-04-03/2023-04-09,713451479.0,278190,517396,6058909,61897,18775038.92105263,7320.789473684211,13615.684210526315,159444.97368421053,1628.8684210526317
2023-04-10/2023-04-16,1277411679.0,483219,815547,8590749,87882,18785465.86764706,7106.161764705882,11993.338235294117,126334.54411764706,1292.3823529411766
2023-04-17/2023-04-23,1036878794.0,405903,723817,8147884,84531,20330956.74509804,7958.882352941177,14192.490196078432,159762.431372549,1657.4705882352941
2023-04-24/2023-04-30,341633944.0,193633,220322,2366343,28395,12653109.037037037,7171.592592592592,8160.074074074074,87642.33333333333,1051.6666666666667
