week,ttLikeCountSum,ttPlayCountSum,ttShareCountSum,ttCommentCountSum,ttLikeCountAvg,ttPlayCountAvg,ttShareCountAvg,ttCommentCountAvg
2021-11-08/2021-11-14,19498,291300,235,75,9749.0,145650.0,117.5,37.5
2021-11-15/2021-11-21,187900,2820400,2077,940,93950.0,1410200.0,1038.5,470.0
2021-11-22/2021-11-28,145135,2521400,484,459,72567.5,1260700.0,242.0,229.5
2021-11-29/2021-12-05,13600,168100,144,61,13600.0,168100.0,144.0,61.0
2021-12-06/2021-12-12,61400,651100,584,191,61400.0,651100.0,584.0,191.0
2021-12-13/2021-12-19,181500,5000000,2344,837,90750.0,2500000.0,1172.0,418.5
2021-12-27/2022-01-02,26200,297300,529,322,26200.0,297300.0,529.0,322.0
2022-01-03/2022-01-09,20238,358200,189,190,10119.0,179100.0,94.5,95.0
2022-01-10/2022-01-16,50479,675000,595,368,16826.333333333332,225000.0,198.33333333333334,122.66666666666667
2022-01-17/2022-01-23,5844,186100,26,38,5844.0,186100.0,26.0,38.0
2022-01-24/2022-01-30,24900,286600,757,387,24900.0,286600.0,757.0,387.0
2022-01-31/2022-02-06,17000,226900,517,312,17000.0,226900.0,517.0,312.0
2022-02-14/2022-02-20,38900,403300,437,139,38900.0,403300.0,437.0,139.0
2022-02-21/2022-02-27,17100,259100,73,116,17100.0,259100.0,73.0,116.0
2022-02-28/2022-03-06,14900,249800,108,94,14900.0,249800.0,108.0,94.0
2022-03-07/2022-03-13,366000,5501000,6344,12699,183000.0,2750500.0,3172.0,6349.5
2022-03-14/2022-03-20,1952400,30900000,32004,25917,976200.0,15450000.0,16002.0,12958.5
2022-03-21/2022-03-27,422700,10900000,6636,1547,422700.0,10900000.0,6636.0,1547.0
2022-03-28/2022-04-03,58400,903800,323,394,29200.0,451900.0,161.5,197.0
2022-04-04/2022-04-10,855000,7365100,11653,2246,427500.0,3682550.0,5826.5,1123.0
2022-04-11/2022-04-17,189900,2046000,1869,1170,63300.0,682000.0,623.0,390.0
2022-04-18/2022-04-24,19633,284400,313,154,9816.5,142200.0,156.5,77.0
2022-04-25/2022-05-01,37700,434700,249,262,18850.0,217350.0,124.5,131.0
2022-05-02/2022-05-08,27900,396700,230,171,27900.0,396700.0,230.0,171.0
2022-05-09/2022-05-15,1965300,20313500,16275,14227,655100.0,6771166.666666667,5425.0,4742.333333333333
2022-05-16/2022-05-22,24886,325000,390,234,12443.0,162500.0,195.0,117.0
2022-05-23/2022-05-29,35100,333200,606,363,35100.0,333200.0,606.0,363.0
2022-05-30/2022-06-05,25800,303500,107,92,12900.0,151750.0,53.5,46.0
2022-06-06/2022-06-12,278008,2500000,15960,4895,139004.0,1250000.0,7980.0,2447.5
2022-06-13/2022-06-19,99918,1015200,578,533,49959.0,507600.0,289.0,266.5
2022-06-20/2022-06-26,60800,545200,230,474,30400.0,272600.0,115.0,237.0
2022-06-27/2022-07-03,72940,898300,284,2408,24313.333333333332,299433.3333333333,94.66666666666667,802.6666666666666
2022-07-04/2022-07-10,114200,1300000,311,443,114200.0,1300000.0,311.0,443.0
2022-07-11/2022-07-17,22834,446000,316,254,5708.5,111500.0,79.0,63.5
2022-07-18/2022-07-24,10715,181600,65,124,5357.5,90800.0,32.5,62.0
2022-07-25/2022-07-31,125792,672700,740,334,62896.0,336350.0,370.0,167.0
2022-08-01/2022-08-07,12800,131900,36,75,12800.0,131900.0,36.0,75.0
2022-08-08/2022-08-14,21950,228000,195,135,10975.0,114000.0,97.5,67.5
2022-08-15/2022-08-21,4660,74700,19,22,4660.0,74700.0,19.0,22.0
2022-08-22/2022-08-28,5488,101000,45,123,2744.0,50500.0,22.5,61.5
2022-08-29/2022-09-04,9706,154800,101,74,4853.0,77400.0,50.5,37.0
2022-09-05/2022-09-11,887340,7400300,13300,5203,295780.0,2466766.6666666665,4433.333333333333,1734.3333333333333
2022-09-12/2022-09-18,14147,313800,379,333,3536.75,78450.0,94.75,83.25
2022-09-19/2022-09-25,1334836,12397000,16724,6065,444945.3333333333,4132333.3333333335,5574.666666666667,2021.6666666666667
2022-09-26/2022-10-02,11468,214500,71,118,5734.0,107250.0,35.5,59.0
2022-10-03/2022-10-09,17878,326000,224,168,5959.333333333333,108666.66666666667,74.66666666666667,56.0
2022-10-10/2022-10-16,13330,230300,131,140,6665.0,115150.0,65.5,70.0
2022-10-17/2022-10-23,5764,96300,144,62,5764.0,96300.0,144.0,62.0
2022-10-24/2022-10-30,15130,268700,143,111,5043.333333333333,89566.66666666667,47.666666666666664,37.0
2022-10-31/2022-11-06,219658,5610300,2291,579,109829.0,2805150.0,1145.5,289.5
2022-11-07/2022-11-13,5219,91100,131,36,5219.0,91100.0,131.0,36.0
2022-11-14/2022-11-20,484800,6770100,9515,3665,242400.0,3385050.0,4757.5,1832.5
2022-11-28/2022-12-04,59841,1081400,761,318,29920.5,540700.0,380.5,159.0
2022-12-05/2022-12-11,45420,733500,353,275,15140.0,244500.0,117.66666666666667,91.66666666666667
2022-12-19/2022-12-25,329600,2685600,971,576,164800.0,1342800.0,485.5,288.0
2022-12-26/2023-01-01,319639,2267500,3065,5682,159819.5,1133750.0,1532.5,2841.0
2023-01-02/2023-01-08,919000,11100000,20447,8847,459500.0,5550000.0,10223.5,4423.5
2023-01-09/2023-01-15,86727,1152800,604,693,43363.5,576400.0,302.0,346.5
2023-01-16/2023-01-22,19400,218200,1265,186,19400.0,218200.0,1265.0,186.0
2023-01-23/2023-01-29,23135,198300,167,147,11567.5,99150.0,83.5,73.5
2023-01-30/2023-02-05,36900,548100,49,400,36900.0,548100.0,49.0,400.0
2023-02-06/2023-02-12,48400,394500,58,280,48400.0,394500.0,58.0,280.0
2023-02-13/2023-02-19,18256,212600,24,184,4564.0,53150.0,6.0,46.0
2023-02-20/2023-02-26,1818,28900,16,54,1818.0,28900.0,16.0,54.0
2023-02-27/2023-03-05,97944,744900,3997,930,24486.0,186225.0,999.25,232.5
2023-03-06/2023-03-12,87074,2865500,809,527,29024.666666666668,955166.6666666666,269.6666666666667,175.66666666666666
2023-03-13/2023-03-19,13438,160100,51,113,4479.333333333333,53366.666666666664,17.0,37.666666666666664
2023-03-20/2023-03-26,2883,45200,19,44,1441.5,22600.0,9.5,22.0
2023-03-27/2023-04-02,10100,94300,13,34,10100.0,94300.0,13.0,34.0
2023-04-03/2023-04-09,45382,332100,262,359,11345.5,83025.0,65.5,89.75
2023-04-10/2023-04-16,15617,132600,87,176,5205.666666666667,44200.0,29.0,58.666666666666664
2023-04-17/2023-04-23,1667,22500,2,21,1667.0,22500.0,2.0,21.0
